cycle,delta_line_mAcm2,m_fit,b_ox_fit,b_red_fit,is_outlier_zscore,delta_line_mAcm2_no_outliers_zscore,is_sampled,delta_line_mAcm2,m_fit,b_ox_fit,b_red_fit,is_outlier_zscore,delta_line_mAcm2_no_outliers_zscore,is_sampled
,B_N93__NiC_acet_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N93__NiC_acet_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N93__NiC_acet_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N93__NiC_acet_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N93__NiC_acet_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N93__NiC_acet_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N93__NiC_acet_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N94__NiC_nit_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N94__NiC_nit_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N94__NiC_nit_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N94__NiC_nit_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N94__NiC_nit_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N94__NiC_nit_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N94__NiC_nit_1M_KOH__vs_RHE_B_05_CVA_C02_txt
1.0,0.026607014324501743,0.029050999641961863,-0.02295003215364534,-0.049557046478147085,,,False,0.024368192678720618,0.0492556451843894,-0.04321499167531315,-0.06758318435403377,,,False
2.0,0.027670744199188496,0.11526708557107017,-0.11343041783838845,-0.14110116203757694,,,False,0.021626316473922935,0.11552480952380913,-0.11519195253503361,-0.13681826900895655,,,False
3.0,0.028613340063850107,0.14101155388471107,-0.14057363974773293,-0.16918697981158304,,,False,0.02234312682480008,0.10921580021482229,-0.10832144709398456,-0.13066457391878464,,,False
4.0,0.02918729688686006,0.19981580916577052,-0.20194644973148118,-0.23113374661834124,,,False,0.0231540589867526,0.10440083959899699,-0.1030088745337446,-0.1261629335204972,,,False
5.0,0.030672505020288815,0.1150141872538487,-0.1144878252596668,-0.14516033027995562,,,False,0.023821523634681957,0.11333269423558863,-0.11177375888623309,-0.13559528252091504,,,False
6.0,0.031793360245852775,0.11993952918009271,-0.11966515812041845,-0.15145851836627122,,,False,0.024303524396109333,0.11278006910132436,-0.11091933317162511,-0.13522285756773444,,,False
7.0,0.032329274230815164,0.12146296670246992,-0.12190380796005532,-0.15423308219087048,,,False,0.024682236410072805,0.1098640175438593,-0.10768951599890766,-0.13237175240898047,,,False
8.0,0.03289562712674546,0.11837493233082651,-0.11946482827459878,-0.15236045540134424,,,False,0.024981318970640903,0.10865818689581044,-0.10635016514650864,-0.13133148411714954,,,False
9.0,0.033330607653657945,0.12789677801646915,-0.13044544017978674,-0.16377604783344468,0.0,0.033330607653657945,True,0.025380895091896394,0.11066395059076224,-0.1081166521569277,-0.1334975472488241,0.0,0.025380895091896394,True
10.0,0.03341060496419623,0.09536412853562415,-0.098579968172719,-0.13199057313691523,,,False,0.025736583524883616,0.11124595417114176,-0.10849628459273147,-0.1342328681176151,,,False
11.0,0.034461889100728005,0.13901654278553469,-0.14441254296168365,-0.17887443206241166,,,False,0.025983669556032957,0.11068770676691696,-0.10782209916460764,-0.1338057687206406,,,False
12.0,0.033566319901539576,0.19052302184031508,-0.20027318955488727,-0.23383950945642684,,,False,0.026195262774197425,0.10952897815968454,-0.10652018656935155,-0.13271544934354898,,,False
13.0,0.0352936970736365,0.13473929430719603,-0.14322461811140438,-0.17851831518504088,,,False,0.026392202861916736,0.10976870032223383,-0.10667433726852815,-0.1330665401304449,,,False
14.0,0.03382570829514267,0.15892885320443903,-0.17158307466254924,-0.2054087829576919,,,False,0.02659057306778853,0.10943285069817373,-0.10623230193963454,-0.13282287500742307,,,False
15.0,0.034590618248597715,0.11618431077694155,-0.12849501700317853,-0.16308563525177625,,,False,0.026768197903687785,0.10974398460436768,-0.106466127032778,-0.13323432493646578,,,False
16.0,0.034333808836376656,0.19458328965270216,-0.21114269802867353,-0.24547650686505018,,,False,0.026955137428094078,0.10967805513784414,-0.10631466724117389,-0.13326980466926797,,,False
17.0,0.033776778682420405,0.1971804117436442,-0.21577683032436024,-0.24955360900678064,,,False,0.02683273586167803,0.127533836734693,-0.12484889892040729,-0.15168163478208532,,,False
18.0,0.0339648158652584,0.19490182456140268,-0.21441598289545788,-0.24838079876071628,,,False,0.027237901344432547,0.10916429967776549,-0.10563955312228754,-0.13287745446672009,,,False
19.0,0.03199270497255047,0.24163478267096286,-0.2652623255079868,-0.29725503048053725,0.0,0.03199270497255047,True,0.027161016948919925,0.12542579090583508,-0.1225447133559962,-0.14970573030491613,0.0,0.027161016948919925,True
20.0,0.032153671001312806,0.1889059606158243,-0.21111551065170264,-0.24326918165301545,,,False,0.027506245897481796,0.10959781704260609,-0.10595345462042566,-0.13345970051790745,,,False
21.0,0.0312735708563075,0.20123111349803025,-0.22485462855746446,-0.25612819941377196,,,False,0.027624646669650338,0.10786911457214421,-0.1041160617161292,-0.13174070838577953,,,False
22.0,0.03061341798305292,0.17803235195130598,-0.20159096997479825,-0.23220438795785117,,,False,0.027250472303974232,0.1348722549230222,-0.13236183913698576,-0.15961231144096,,,False
23.0,0.029477014016589143,0.17653206015037493,-0.2013234276446907,-0.23080044166127983,,,False,0.027856646556271625,0.10833777443608986,-0.10447446797701362,-0.13233111453328525,,,False
24.0,0.029181021380236316,0.181766837808807,-0.20706217145971573,-0.23624319283995204,,,False,0.02795074928571431,0.10875621088435337,-0.10488916912823093,-0.13283991841394524,,,False
25.0,0.02876297055853927,0.20361102613676968,-0.23015403813562962,-0.2589170086941689,,,False,0.028060718664518453,0.10753873791621867,-0.10356791754752909,-0.13162863621204754,,,False
26.0,0.02883143186060394,0.18524603222341468,-0.21173620145647154,-0.24056763331707548,,,False,0.02806152217269367,0.10566798245613998,-0.10162688546231613,-0.1296884076350098,,,False
27.0,0.028658245467836352,0.2060271349803071,-0.23376062174738466,-0.262418867215221,,,False,0.028173622976488816,0.10831977336197601,-0.10435864925300722,-0.13253227222949604,,,False
28.0,0.029491958157894738,0.17678739240959454,-0.20373722668166833,-0.23322918483956306,,,False,0.02830696677407804,0.10781365520945178,-0.10375536285107376,-0.1320623296251518,,,False
29.0,0.029368618370330613,0.18896261117078325,-0.21738280343575206,-0.24675142180608267,0.0,0.029368618370330613,True,0.02838879422902496,0.10847644897959141,-0.10440201515714242,-0.13279080938616739,0.0,0.02838879422902496,True
30.0,0.028940368588733806,0.18859454887217963,-0.21857328031970913,-0.24751364890844293,,,False,0.0283902920258981,0.1100252094522015,-0.10601959716595014,-0.13440988919184824,,,False
31.0,0.02945420483052874,0.19805378481918984,-0.2291110620075414,-0.25856526683807013,,,False,0.028486164093567273,0.10773660114572106,-0.1036002792655385,-0.13208644335910577,,,False
32.0,0.029955437217448477,0.19681261260293487,-0.2286481215174146,-0.25860355873486307,,,False,0.028552500445757245,0.10757499462943035,-0.10340134027282458,-0.13195384071858182,,,False
33.0,0.02971134342105275,0.2242142187611876,-0.2583824067501235,-0.2880937501711762,,,False,0.028458595821100385,0.1031931697099889,-0.09897596839199752,-0.1274345642130979,,,False
34.0,0.029818936123642503,0.19722176691729226,-0.23161952793006346,-0.26143846405370597,,,False,0.02863406244897959,0.10817936054421727,-0.10400438235850301,-0.1326384448074826,,,False
35.0,0.02927587690834238,0.19090581775868137,-0.22673324643492687,-0.25600912334326925,,,False,0.02865475603055259,0.10753015145005329,-0.10332192385225522,-0.1319766798828078,,,False
36.0,0.02983870818236073,0.2002123250984597,-0.23672430655270388,-0.2665630147350646,,,False,0.028726217361260298,0.10849574042248443,-0.10428071589504084,-0.13300693325630114,,,False
37.0,0.028246748955125967,0.19738554350161028,-0.2359373570775351,-0.26418410603266107,,,False,0.02872238998269483,0.1108200837808803,-0.10674022599903288,-0.1354626159817277,,,False
38.0,0.028845469029120496,0.2260377182241306,-0.2654061832650406,-0.2942516522941611,,,False,0.028778063118510583,0.1072273426423198,-0.10295905697336169,-0.13173712009187227,,,False
39.0,0.02830873014858587,0.22880436555674777,-0.26915956655136913,-0.297468296699955,0.0,0.02830873014858587,True,0.02878120042009788,0.10655010454708158,-0.10227020124342961,-0.1310514016635275,0.0,0.02878120042009788,True
40.0,0.02775070016290726,0.22849574543501538,-0.26941741491932697,-0.29716811508223423,,,False,0.028777803159684923,0.10799123666308598,-0.10375548600744691,-0.13253328916713183,,,False
41.0,0.02724035746210768,0.22958719119226506,-0.2711227751702994,-0.2983631326324071,,,False,0.028825650351473914,0.10721617006802685,-0.10293306419149625,-0.13175871454297017,,,False
42.0,0.02659075373194897,0.18353124561403406,-0.22413029055870787,-0.25072104429065684,,,False,0.028910354852011017,0.10979688865019659,-0.10557069681507306,-0.13448105166708407,,,False
43.0,0.026026824062537313,0.21003539598997403,-0.25179458741729455,-0.27782141147983186,,,False,0.02887678386800338,0.10835560615825243,-0.1041155640779087,-0.13299234794591208,,,False
44.0,0.025633684377610766,0.22183279412817702,-0.2640284415876557,-0.28966212596526647,,,False,0.028422913571428565,0.1244460544217685,-0.12114212637074814,-0.1495650399421767,,,False
45.0,0.025669442738990467,0.2270951432151799,-0.2691111664648433,-0.29478060920383375,,,False,0.028986622441222104,0.10642849803079078,-0.10211115831194012,-0.13109778075316222,,,False
46.0,0.02538319469029726,0.20659614822771155,-0.24789634743849986,-0.2732795421287971,,,False,0.02844636223714045,0.14099815109201444,-0.13814772452316376,-0.1665940867603042,,,False
47.0,0.024905644338226618,0.22743968993913263,-0.26943241079165103,-0.29433805512987765,,,False,0.028900580665353864,0.10743987611886821,-0.10315671877955565,-0.13205729944490951,,,False
48.0,0.023935704723117346,0.25711821124239087,-0.3005200685865168,-0.32445577330963415,,,False,0.028924859582885792,0.10823388757608282,-0.10397409534106672,-0.1328989549239525,,,False
49.0,0.025024691744838345,0.18749236233440683,-0.2273540461804247,-0.25237873792526305,0.0,0.025024691744838345,True,0.028957413968253937,0.10650159863945541,-0.10216158583843507,-0.131118999806689,0.0,0.028957413968253937,True
50.0,0.023462631253132915,0.2172030046544927,-0.25897181281003573,-0.28243444406316864,,,False,0.028922815861678025,0.10791640136054392,-0.10365080632278884,-0.13257362218446686,,,False
51.0,0.02349848119525011,0.2346720404582877,-0.2764584871888692,-0.2999569683841193,,,False,0.028939153155507824,0.10744544360902211,-0.10316083766874284,-0.13209999082425067,,,False
52.0,0.023375644575128363,0.21181135839598922,-0.25255823620383167,-0.27593388077896003,,,False,0.028631173191311643,0.12697210418904317,-0.12356149166331812,-0.15219266485462976,,,False
53.0,0.02408526375462472,0.258705456498388,-0.2997985094166265,-0.3238837731712512,,,False,0.028853524446234652,0.10830118438954486,-0.1041008416969563,-0.13295436614319095,,,False
54.0,0.02261954728905602,0.19810057321876012,-0.23840499813295485,-0.26102454542201087,,,False,0.028818145156343233,0.10738633011099141,-0.10317158150519123,-0.13198972666153447,,,False
55.0,0.023384643082706824,0.249073675259577,-0.2897372558915676,-0.31312189897427445,,,False,0.028833446936985307,0.10746272717508032,-0.1032437666380771,-0.1320772135750624,,,False
56.0,0.022584047783148375,0.21658307697815887,-0.25651768253747287,-0.27910173032062124,,,False,0.02866371510860488,0.12117471464375142,-0.11754531341786523,-0.1462090285264701,,,False
57.0,0.02314692617078412,0.2120239036877903,-0.2509265563912626,-0.2740734825620467,,,False,0.028766093317221658,0.10696727926960221,-0.10277197246310385,-0.1315380657803255,,,False
58.0,0.02198469525182012,0.21343994880057235,-0.25315239127820993,-0.27513708653003005,,,False,0.02871655153896646,0.10657413712853525,-0.1024051960192442,-0.13112174755821066,,,False
59.0,0.022431718565461334,0.20094504976727443,-0.2394234783174728,-0.2618551968829341,0.0,0.022431718565461334,True,0.028792305168277826,0.10810395846759717,-0.10393569100508379,-0.13272799617336162,0.0,0.028792305168277826,True
60.0,0.02201336828977213,0.21234118438954444,-0.25121518237303453,-0.27322855066280666,,,False,0.02857354439849627,0.11241951450053672,-0.10856858456133159,-0.13714212895982786,,,False
61.0,0.02141388694175922,0.2085770941639809,-0.24756639843734435,-0.26898028537910357,,,False,0.028652320452918018,0.10728576620121691,-0.10317566839160361,-0.13182798884452163,,,False
