cycle,delta_line_mAcm2,m_fit,b_ox_fit,b_red_fit,is_outlier_zscore,delta_line_mAcm2_no_outliers_zscore,delta_line_mAcm2,m_fit,b_ox_fit,b_red_fit,is_outlier_zscore,delta_line_mAcm2_no_outliers_zscore
,B_N93__NiC_acet_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N93__NiC_acet_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N93__NiC_acet_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N93__NiC_acet_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N93__NiC_acet_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N93__NiC_acet_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N94__NiC_nit_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N94__NiC_nit_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N94__NiC_nit_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N94__NiC_nit_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N94__NiC_nit_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N94__NiC_nit_1M_KOH__vs_RHE_B_05_CVA_C02_txt
9.0,0.033330607653657945,0.12789677801646915,-0.13044544017978674,-0.16377604783344468,0.0,0.033330607653657945,0.025380895091896394,0.11066395059076224,-0.1081166521569277,-0.1334975472488241,0.0,0.025380895091896394
19.0,0.03199270497255047,0.24163478267096286,-0.2652623255079868,-0.29725503048053725,0.0,0.03199270497255047,0.027161016948919925,0.12542579090583508,-0.1225447133559962,-0.14970573030491613,0.0,0.027161016948919925
29.0,0.029368618370330613,0.18896261117078325,-0.21738280343575206,-0.24675142180608267,0.0,0.029368618370330613,0.02838879422902496,0.10847644897959141,-0.10440201515714242,-0.13279080938616739,0.0,0.02838879422902496
39.0,0.02830873014858587,0.22880436555674777,-0.26915956655136913,-0.297468296699955,0.0,0.02830873014858587,0.02878120042009788,0.10655010454708158,-0.10227020124342961,-0.1310514016635275,0.0,0.02878120042009788
49.0,0.025024691744838345,0.18749236233440683,-0.2273540461804247,-0.25237873792526305,0.0,0.025024691744838345,0.028957413968253937,0.10650159863945541,-0.10216158583843507,-0.131118999806689,0.0,0.028957413968253937
59.0,0.022431718565461334,0.20094504976727443,-0.2394234783174728,-0.2618551968829341,0.0,0.022431718565461334,0.028792305168277826,0.10810395846759717,-0.10393569100508379,-0.13272799617336162,0.0,0.028792305168277826
69.0,0.020367920129490458,0.231533625492301,-0.2698329342142973,-0.2902008543437878,0.0,0.020367920129490458,0.028239410631937023,0.10827635481561007,-0.1044592817246863,-0.13269869235662332,0.0,0.028239410631937023
79.0,0.019623660553765465,0.21195126459004598,-0.24804019756941292,-0.2676638581231784,0.0,0.019623660553765465,0.027646477835660627,0.10834637235946987,-0.10503482109706383,-0.13268129893272446,0.0,0.027646477835660627
89.0,0.019030809140708982,0.18656394880057225,-0.2210359345209854,-0.2400667436616944,0.0,0.019030809140708982,0.026611718873373907,0.10769426136770453,-0.10507103465857459,-0.1316827535319485,0.0,0.026611718873373907
99.0,0.01865807387874452,0.20067701181525194,-0.23477091042847215,-0.25342898430721666,0.0,0.01865807387874452,0.02577394378684808,0.10945289795918325,-0.10787835123265266,-0.13365229501950074,0.0,0.02577394378684808
109.0,0.01873942724489802,0.18715227210884292,-0.21928236938955042,-0.23802179663444845,0.0,0.01873942724489802,0.025420331199427132,0.11467218725384842,-0.11478973415110946,-0.1402100653505366,0.0,0.025420331199427132
119.0,0.01835193415682071,0.19803481919083354,-0.2300166736546716,-0.2483686078114923,0.0,0.01835193415682071,0.027429832681704264,0.12231141962047905,-0.12676242262987758,-0.15419225531158184,0.0,0.027429832681704264
129.0,0.01835374347475835,0.18407707697815906,-0.2149292670451466,-0.23328301051990494,0.0,0.01835374347475835,0.029321193215180813,0.18611172144647234,-0.20266969197568824,-0.23199088519086905,0.0,0.029321193215180813
139.0,0.018353269849027354,0.17905356999641922,-0.20925217259486745,-0.2276054424438948,0.0,0.018353269849027354,0.02717068642737802,0.20633240315073303,-0.23021869935191458,-0.2573893857792926,0.0,0.02717068642737802
149.0,0.018082019835302637,0.1809310429645536,-0.21096417019628932,-0.22904619003159196,0.0,0.018082019835302637,0.02394639835302545,0.19463221195846658,-0.21991030209509388,-0.24385670044811933,0.0,0.02394639835302545
159.0,0.018324397547440058,0.1617771210168272,-0.19069657052311223,-0.2090209680705523,0.0,0.018324397547440058,0.02222095457512832,0.18312746723952653,-0.20861621539892505,-0.23083716997405337,0.0,0.02222095457512832
169.0,0.018180411619525022,0.1826430605084134,-0.21201702888590285,-0.23019744050542787,0.0,0.018180411619525022,0.021207390751879718,0.182549824561403,-0.20778248744969524,-0.22898987820157496,0.0,0.021207390751879718
179.0,0.017876541952500352,0.191490635875402,-0.2212551169492709,-0.23913165890177127,0.0,0.017876541952500352,0.021134778962883433,0.17365288900823414,-0.19850027025028572,-0.21963504921316915,0.0,0.021134778962883433
189.0,0.017842391366511612,0.18934369853204372,-0.21886372547787247,-0.23670611684438408,0.0,0.017842391366511612,0.020493881249552454,0.1695139828141775,-0.19507046541793693,-0.2155643466674894,0.0,0.020493881249552454
199.0,0.016697220828261194,0.15933122019334048,-0.18889214608725668,-0.20558936691551788,0.0,0.016697220828261194,0.020018326790786523,0.16609471177944765,-0.191992469679018,-0.21201079646980453,0.0,0.020018326790786523
209.0,0.017170692443012336,0.20652149874686576,-0.23674665698514574,-0.2539173494281581,0.0,0.017170692443012336,0.019569496319369883,0.16095928284998143,-0.18526328082747878,-0.20483277714684867,0.0,0.019569496319369883
219.0,0.017103261649361517,0.16875666881489432,-0.19782432883698386,-0.21492759048634538,0.0,0.017103261649361517,0.01987893275092492,0.15691593483709207,-0.18177617265653356,-0.20165510540745848,0.0,0.01987893275092492
229.0,0.01830448954171146,0.1949268575008942,-0.2235005705930882,-0.24180506013479966,0.0,0.01830448954171146,0.01992421537414965,0.15668190476190416,-0.1821732420272103,-0.20209745740135995,0.0,0.01992421537414965
239.0,0.01783099792218651,0.18599111672037172,-0.21465598253232793,-0.23248698045451444,0.0,0.01783099792218651,0.019741543123881156,0.15292409989258773,-0.17863403883259849,-0.19837558195647964,0.0,0.019741543123881156
249.0,0.018022155393245115,0.1801458761188679,-0.20848320116135688,-0.226505356554602,0.0,0.018022155393245115,0.020029788608425858,0.15823180844969492,-0.18485653092837373,-0.2048863195367996,0.0,0.020029788608425858
259.0,0.01729219448681235,0.22728823236663054,-0.25765958095747116,-0.2749517754442835,0.0,0.01729219448681235,0.020409354469507146,0.15898729573934728,-0.18604887103800466,-0.2064582255075118,0.0,0.020409354469507146
269.0,0.01786543406552099,0.18547419763694886,-0.21401012338365993,-0.23187555744918092,0.0,0.01786543406552099,0.020765802496121255,0.1586894905119934,-0.18594599432246606,-0.2067117968185873,0.0,0.020765802496121255
279.0,0.01827220113438363,0.19502365556748946,-0.22347169104268455,-0.24174389217706818,0.0,0.01827220113438363,0.021062826329514284,0.16175892409595322,-0.18995072334810148,-0.21101354967761576,0.0,0.021062826329514284
289.0,0.01799627756414851,0.24749260615825205,-0.27765786337993265,-0.29565414094408116,0.0,0.01799627756414851,0.021247563373910983,0.17053567382742482,-0.1996379957780693,-0.22088555915198027,0.0,0.021247563373910983
299.0,0.014891422043203345,0.19898913927676137,-0.2279892226423309,-0.24288064468553425,0.0,0.014891422043203345,0.021775876466762212,0.15994751414249836,-0.18828617468122016,-0.21006205114798238,0.0,0.021775876466762212
309.0,0.017861448447905492,0.11287346079484294,-0.13841922457532843,-0.15628067302323392,0.0,0.017861448447905492,0.021276133354815596,0.15834743036161744,-0.1860297079883092,-0.2073058413431248,0.0,0.021276133354815596
319.0,0.015430733799379454,0.1520800050125297,-0.18125000507500155,-0.196680738874381,0.0,0.015430733799379454,0.02140259382265186,0.16236194629430611,-0.1909994593731461,-0.21240205319579797,0.0,0.02140259382265186
329.0,0.02160375637247891,0.27526361475116234,-0.3040101805338676,-0.3256139369063465,0.0,0.02160375637247891,0.021698420436806337,0.15650609308986635,-0.1857227770798771,-0.20742119751668345,0.0,0.021698420436806337
339.0,0.015273820198711097,0.20160781417830184,-0.23288336046052532,-0.24815718065923642,0.0,0.015273820198711097,0.02252390030075188,0.16876431077694118,-0.19908795090368664,-0.22161185120443852,0.0,0.02252390030075188
349.0,0.01990239191789006,0.2626317150017894,-0.29158110035785095,-0.311483492275741,0.0,0.01990239191789006,0.022071952881012047,0.16600831793770032,-0.19682835799978415,-0.2189003108807962,0.0,0.022071952881012047
359.0,0.02065940021959667,0.40673326924453934,-0.438885328052225,-0.4595447282718217,0.0,0.02065940021959667,0.022920959439670596,0.17244544933762895,-0.2036344295750082,-0.2265553890146788,0.0,0.022920959439670596
369.0,0.01922057490631346,0.2249035044754731,-0.25203073758991923,-0.2712513124962327,0.0,0.01922057490631346,0.022192813175199888,0.17011222019333946,-0.20169319732132018,-0.22388601049652007,0.0,0.022192813175199888
379.0,0.018504774035684513,0.2084060927318297,-0.23837359732233532,-0.25687837135801983,0.0,0.018504774035684513,0.02345787158073756,0.17104693161474988,-0.20288819539777891,-0.22634606697851647,0.0,0.02345787158073756
389.0,0.01795897511755587,0.1582051467955595,-0.18621824224430633,-0.2041772173618622,0.0,0.01795897511755587,0.02306877885547204,0.17140569638381584,-0.203292971423021,-0.22636175027849303,0.0,0.02306877885547204
