global_cycle,session,raw_cycle,filename,n_points,n_points_ox,n_points_red,E_min,E_max,I_min_mA,I_max_mA,I_mean_mA,Q_ox_mC,Q_red_mC,Q_total_mC
1,0,1,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,353,353,0,0.99995118,1.5900247,-0.02013704739511013,0.2281050422979987,0.03793873161677397,2.297399224026638,,2.297399224026638
2,0,1,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0099089,1.6000372,-0.08535807470762025,0.3052672445774078,0.005612095778129694,,0.22756260001807807,0.22756260001807807
3,0,1,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,335,335,0,1.0000094,1.5907921,-0.03249618411064148,0.1846863605258087,0.03544931951769667,2.124265531733972,,2.124265531733972
4,0,2,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0098988,1.6000011,-0.1305233402089812,0.2451134920120239,-0.0016605441282981346,,-0.1828210255328703,-0.1828210255328703
5,0,2,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,335,335,0,0.99999934,1.5899053,-0.01441403715295531,0.165312196731096,0.03482267751103745,2.0795163231577884,,2.0795163231577884
6,0,3,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0087634,1.5999117,-0.162511346872361,0.2170706746930424,-0.005911168691653856,,-0.3876820320431344,-0.3876820320431344
7,0,3,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,339,339,0,0.99996626,1.590668,-0.01364909668210084,0.166885675854608,0.03490814518171567,2.0992928537285676,,2.0992928537285676
8,0,4,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0093169,1.5999732,-0.1844444214628753,0.1976986472373419,-0.0075581639611617376,,-0.5198219274306136,-0.5198219274306136
9,0,4,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,335,335,0,1.0000174,1.5915037,-0.002993968911696475,0.1792893412528054,0.035775637830888427,2.130576418513536,,2.130576418513536
10,0,5,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.009347,1.5999194,-0.1993227886014745,0.173530700430274,-0.01026509595497417,,-0.6406376083098089,-0.6406376083098089
11,0,5,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,338,338,0,1.0000474,1.5911283,-0.01975519768893719,0.1920624621808695,0.0361290398043511,2.1453328435506562,,2.1453328435506562
12,0,6,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0080609,1.5999495,-0.2147927268032467,0.2001587873697281,-0.011671838315434639,,-0.7290347526298844,-0.7290347526298844
13,0,6,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,327,327,0,1.0000265,1.5903449,-0.003421731779142531,0.1989927962284677,0.03602542641833574,2.16332261961186,,2.16332261961186
14,0,7,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0093091,1.6000053,-0.2244663182596494,0.1795485554182008,-0.012541749164304367,,-0.805984243522163,-0.805984243522163
15,0,7,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,336,336,0,1.0000113,1.5905128,-0.004854285025667995,0.2062453617793587,0.03686485461023766,2.192498311047572,,2.192498311047572
16,0,8,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0093188,1.6000233,-0.2296638128481994,0.2050894647836685,-0.01352301055785018,,-0.8738285167365913,-0.8738285167365913
17,0,8,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,328,328,0,0.99995118,1.5907869,-0.04068363830447197,0.2104985746624746,0.037539124700047104,2.222966723401157,,2.222966723401157
18,0,9,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0087014,1.6000092,-0.2388759891653365,0.1773359150342317,-0.014615239968313732,,-0.931385466812864,-0.931385466812864
19,0,9,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,329,329,0,0.99995136,1.5901033,-0.007292165362632219,0.2149150615690121,0.03793815902274933,2.2448656205917765,,2.2448656205917765
20,0,10,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0093009,1.5999591,-0.2457320763037067,0.1733897477388382,-0.01543024120350069,,-0.9792030837132129,-0.9792030837132129
21,0,10,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,337,337,0,1.0000479,1.5901983,-0.01526239637577753,0.217612973533277,0.03831990251152797,2.2730180007561556,,2.2730180007561556
22,0,11,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0087188,1.5999063,-0.2506838424336394,0.1700338125228882,-0.0168818423484314,,-1.0331712015374408,-1.0331712015374408
23,0,11,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,359,359,0,1.0000194,1.5903993,-0.01901032638914407,0.2208407194452615,0.03864693433269769,2.2928456795861294,,2.2928456795861294
24,0,12,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0093088,1.6000032,-0.2511893302938706,0.1738684355564739,-0.016991535939700084,,-1.0688630697603207,-1.0688630697603207
25,0,12,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,349,349,0,0.99995118,1.5903993,-0.04472485929727554,0.223881804427716,0.040086255627723125,2.315462855345084,,2.315462855345084
26,0,13,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0092989,1.6000212,-0.2556971212936361,0.1726374007437539,-0.017580953247740286,,-1.1023175515361356,-1.1023175515361356
27,0,13,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,340,340,0,0.99999946,1.5915031,-0.008102480322122574,0.2258244227651458,0.03891760851012032,2.346969246898438,,2.346969246898438
28,0,14,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0093288,1.5999154,-0.2600143588861035,0.181301873709474,-0.018497839032023053,,-1.1311620192663092,-1.1311620192663092
29,0,14,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,338,338,0,0.99995118,1.5908351,-0.04764281585812569,0.2298195274572716,0.040738007532648744,2.3560835503109443,,2.3560835503109443
30,0,15,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,314,0,314,1.0080149,1.5999992,-0.2591028269866542,0.1757876335278801,-0.018206588890539943,,-1.1444909055329866,-1.1444909055329866
31,0,15,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,337,337,0,0.99995136,1.5908543,-0.005657703555084603,0.231118781177218,0.040019585930749633,2.3858238170584336,,2.3858238170584336
32,0,16,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0093088,1.5999792,-0.2618338518436203,0.1918139010667801,-0.018390701439123778,,-1.1592746952188073,-1.1592746952188073
33,0,16,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,329,329,0,0.99995136,1.5903993,-0.005571615744132605,0.2324021823134785,0.040806993296650745,2.4216764038468335,,2.4216764038468335
34,0,17,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0087109,1.6000153,-0.2630332430921503,0.1991071999073029,-0.018310060139253154,,-1.1579817513678197,-1.1579817513678197
35,0,17,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,335,335,0,1.0000114,1.5910209,-0.02084563263355102,0.2368561430654799,0.04066126103293127,2.4100966205792056,,2.4100966205792056
36,0,18,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.009907,1.6000352,-0.258685925931041,0.2007045894861221,-0.018992674135263798,,-1.1968756260131026,-1.1968756260131026
37,0,18,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,329,329,0,1.0000074,1.5907249,-0.02453466132283211,0.2398623461595575,0.04115512941044086,2.4179273456917048,,2.4179273456917048
38,0,19,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0093129,1.6000413,-0.2638706622890732,0.1909101903438568,-0.0191963810786045,,-1.2085953399291072,-1.2085953399291072
39,0,19,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,333,333,0,0.99995118,1.5898806,-0.05106989666819572,0.2410676080544456,0.040475419930834526,2.4046317852039816,,2.4046317852039816
40,0,20,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0093207,1.5999731,-0.2613160376454635,0.186347097158432,-0.019497518683047638,,-1.2220390764359195,-1.2220390764359195
41,0,20,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,334,334,0,1.0000333,1.590041,-0.01849868338467786,0.2453976687009445,0.04021133389869454,2.4165752992840877,,2.4165752992840877
42,0,21,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.009907,1.5999511,-0.265522481515487,0.1862846723896392,-0.01949798100438804,,-1.2225929114781637,-1.2225929114781637
43,0,21,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,344,344,0,1.0000075,1.5913333,-0.02963869087398052,0.2519978311608946,0.039588167665675855,2.4237874982084513,,2.4237874982084513
44,0,22,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.008045,1.5999399,-0.2608923993783083,0.18839593877395,-0.020333429155739238,,-1.241671596400419,-1.241671596400419
45,0,22,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,329,329,0,1.0000489,1.5909871,-0.01999288050419822,0.2572372252773605,0.04083846838948357,2.4201157763259182,,2.4201157763259182
46,0,23,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0093552,1.5999341,-0.2646560129952467,0.1897729400432473,-0.02050410164358192,,-1.2488816863660863,-1.2488816863660863
47,0,23,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,336,336,0,0.99998808,1.5914649,-0.01119678820434369,0.2598216209867763,0.041740235793348256,2.4266577532248417,,2.4266577532248417
48,0,24,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.009907,1.5999712,-0.2603032239633887,0.1691830456256866,-0.02023794008157471,,-1.2625309952853399,-1.2625309952853399
49,0,24,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,329,329,0,1.0000074,1.5901191,-0.01922116778112705,0.2649199049106732,0.04042091811473806,2.407141229653551,,2.407141229653551
50,0,25,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,314,0,314,1.0080128,1.5999771,-0.2606388360001015,0.176212645095327,-0.020210439332324304,,-1.2642534931577585,-1.2642534931577585
51,0,25,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,339,339,0,1.0000347,1.5905809,-0.0216314065979705,0.2693629374093938,0.0427025014633277,2.4118073155376876,,2.4118073155376876
52,0,26,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0099049,1.5999892,-0.2598023481011658,0.1760366733955301,-0.02034777586209952,,-1.268295397727365,-1.268295397727365
53,0,26,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,329,329,0,0.99995136,1.5903503,-0.007174687338063895,0.2719964756338809,0.0407721797303968,2.411604862659322,,2.411604862659322
54,0,27,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0093628,1.5999522,-0.2546131857942373,0.1703469045460224,-0.02108366169568012,,-1.2790516761995412,-1.2790516761995412
55,0,27,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,325,325,0,0.99996376,1.5908262,-0.00841301475556662,0.2767809378109649,0.04081471961893351,2.415144086107022,,2.415144086107022
56,0,28,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0093693,1.5999497,-0.2500494703196533,0.1901533603668213,-0.02102167395399757,,-1.27907978090313,-1.27907978090313
57,0,28,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,339,339,0,0.99997222,1.5899818,-0.008484328165650368,0.2813789646908438,0.039741097620979854,2.394654513452699,,2.394654513452699
58,0,29,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0099049,1.6000031,-0.2504934286984923,0.1907892823219299,-0.020464349577467025,,-1.2812099869804168,-1.2812099869804168
59,0,29,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,325,325,0,1.0000054,1.5908363,-0.00903800781816244,0.2872083206608049,0.04165061746915312,2.4089958354372256,,2.4089958354372256
60,0,30,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0093088,1.5999893,-0.2449219361104651,0.1593017723897229,-0.020590493143674365,,-1.2783355240594982,-1.2783355240594982
61,0,30,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,334,334,0,0.99995136,1.5908575,-0.00896463710591959,0.2877595719473088,0.039975350844150985,2.39992806141501,,2.39992806141501
62,0,31,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0080389,1.5999217,-0.242206832177136,0.1537335568513623,-0.02114806265407725,,-1.2850915584225868,-1.2850915584225868
63,0,31,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,327,327,0,1.0000426,1.5905359,-0.008123426978294268,0.2923403741350268,0.04063589887562314,2.393314780159948,,2.393314780159948
64,0,32,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0099009,1.5999951,-0.2389009579686985,0.1590098560504289,-0.02055596514515856,,-1.2755905565572585,-1.2755905565572585
65,0,32,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,342,342,0,0.99995136,1.5916228,-0.01103222117219238,0.2979345394026924,0.039863143200953195,2.396353231542994,,2.396353231542994
66,0,33,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0093949,1.5999602,-0.2364024132526108,0.159791188687086,-0.020990754568072704,,-1.2732753202814546,-1.2732753202814546
67,0,33,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,338,338,0,0.99999547,1.5905193,-0.02269224622084395,0.2986419153823423,0.04092602036624326,2.3729375179591874,,2.3729375179591874
68,0,34,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0099089,1.5999632,-0.2367435352371481,0.1751144230365753,-0.02029976264004383,,-1.267208430939116,-1.267208430939116
69,0,34,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,343,343,0,1.0000093,1.5906053,-0.01105099871969906,0.3040680205016679,0.04102617105551767,2.3595862664289173,,2.3595862664289173
70,0,35,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0099089,1.5999873,-0.2326023951418694,0.1805257308094395,-0.020150539477956968,,-1.2583719214172218,-1.2583719214172218
71,0,35,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,328,328,0,1.0000441,1.5908241,-0.00931999702636005,0.306294119198701,0.040281835026922064,2.354888151083361,,2.354888151083361
72,0,36,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.009367,1.5999662,-0.2318530029990056,0.1653469809714486,-0.020608591335594333,,-1.2543989339197466,-1.2543989339197466
73,0,36,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,339,339,0,0.9999674,1.5915703,-0.01687861420214176,0.3064635195859911,0.03986751220959981,2.3443047367652396,,2.3443047367652396
74,0,37,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,314,0,314,1.0080171,1.5999932,-0.2289354306314708,0.1751207858324051,-0.019958654916914065,,-1.2498306064923648,-1.2498306064923648
75,0,37,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,333,333,0,1.0000174,1.5902961,-0.02349426532569138,0.3117872567621411,0.03907657426402115,2.311244169705591,,2.311244169705591
76,0,38,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0093172,1.5999533,-0.2265778038317927,0.1790899258592846,-0.019833770948860675,,-1.240776288046939,-1.240776288046939
77,0,38,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,333,333,0,1.0000175,1.5898943,-0.02356274745872489,0.3127840824134243,0.0392717638281028,2.2862197235169304,,2.2862197235169304
78,0,39,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,314,0,314,1.008029,1.6000072,-0.2234179270310634,0.1825859099626541,-0.019684426067384634,,-1.2353117461795327,-1.2353117461795327
79,0,39,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,333,333,0,1.0000293,1.5912023,-0.02008613385260105,0.3128974403885521,0.040412858325154594,2.290776522701969,,2.290776522701969
80,0,40,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.009903,1.6000111,-0.2206417098072606,0.1924821436405182,-0.019495060593867724,,-1.2240712846614372,-1.2240712846614372
81,0,40,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,336,336,0,1.000005,1.5903091,-0.02337016430480976,0.3173318495179124,0.03922877116895734,2.2594993835692487,,2.2594993835692487
82,0,41,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0093429,1.5999445,-0.2199892314555303,0.1824190802872181,-0.020003409468518907,,-1.2185406130992669,-1.2185406130992669
83,0,41,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,342,342,0,1.0000135,1.5902224,-0.04953295737504959,0.3193529245688013,0.03940060713714986,2.240447538096088,,2.240447538096088
84,0,42,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.009377,1.5999774,-0.2174005071220488,0.155201642350717,-0.019945271792056813,,-1.2098508199739384,-1.2098508199739384
85,0,42,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,339,339,0,0.99997741,1.5908608,-0.01170988290159074,0.3192192906472391,0.03973220716725295,2.234844149097038,,2.234844149097038
86,0,43,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,314,0,314,1.0080149,1.5999672,-0.2155474246687974,0.1658164411783218,-0.01922853728897364,,-1.2037398680870177,-1.2037398680870177
87,0,43,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,334,334,0,0.99995136,1.5904783,-0.01199098116268096,0.3204894976357038,0.03877104547511647,2.215144709047235,,2.215144709047235
88,0,44,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,314,0,314,1.0080171,1.5999852,-0.2126415379171473,0.1774564236402512,-0.01901234227539424,,-1.1936584909626466,-1.1936584909626466
89,0,44,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,334,334,0,1.0000174,1.590183,-0.01138582399974952,0.3189148520760305,0.03871125939552748,2.191372042795272,,2.191372042795272
90,0,45,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0080251,1.5999045,-0.2112366632529787,0.1679709575449426,-0.019485084139262625,,-1.1875411748598443,-1.1875411748598443
91,0,45,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,339,339,0,1.0000254,1.5907511,-0.01235370167827923,0.3193308719852927,0.03659737431411846,2.186122869489537,,2.186122869489537
92,0,46,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0080929,1.5999787,-0.2096985302351035,0.1414890041083314,-0.01944197868626034,,-1.179716587600437,-1.179716587600437
93,0,46,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,332,332,0,0.99999344,1.5910393,-0.02395635539584839,0.3179793698282203,0.03727825247866318,2.1773535719607984,,2.1773535719607984
94,0,47,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.009335,1.5999215,-0.2052693860247583,0.1699715512685285,-0.019252721345184323,,-1.170467483945269,-1.170467483945269
95,0,47,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,345,345,0,1.0000355,1.5915213,-0.02767217718064785,0.3179023329161801,0.037669226989734704,2.1653625960474714,,2.1653625960474714
96,0,48,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0093029,1.6000253,-0.2050682515228113,0.1422245999717191,-0.018646176340107866,,-1.1611624565050898,-1.1611624565050898
97,0,48,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,339,339,0,1.0000033,1.591383,-0.0150589501533078,0.3178200804952391,0.036531725297098507,2.14942121624567,,2.14942121624567
98,0,49,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0080389,1.5999253,-0.2027877765429529,0.169063170616691,-0.019031249402865935,,-1.1605391804348362,-1.1605391804348362
99,0,49,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,331,331,0,0.99995118,1.5910251,-0.04791328683495522,0.318215456793151,0.036501381539321504,2.1318651634761605,,2.1318651634761605
100,0,50,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0081569,1.5999441,-0.2008165965292328,0.1716155154364452,-0.018932200285748862,,-1.152269713181977,-1.152269713181977
101,0,50,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,344,344,0,0.99999297,1.5913029,-0.04027315229177475,0.3172431539753884,0.03681599265682132,2.123602468692214,,2.123602468692214
102,0,51,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0093052,1.6000192,-0.1985892833350313,0.1756108403205872,-0.01825536895894877,,-1.1434465627985397,-1.1434465627985397
103,0,51,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,337,337,0,1.0000074,1.5909969,-0.02675574272871017,0.3159047920414131,0.035872119511864316,2.105646065665563,,2.105646065665563
104,0,52,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.009339,1.5999324,-0.2005968853532959,0.1343002869764822,-0.01885521957068002,,-1.1419390563988068,-1.1419390563988068
105,0,52,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,332,332,0,0.99995136,1.5906011,-0.009425369978531658,0.3170725074139551,0.03605182243187544,2.093282124379583,,2.093282124379583
