cycle,delta_line_mAcm2,m_fit,b_ox_fit,b_red_fit,is_outlier_zscore,delta_line_mAcm2_no_outliers_zscore,is_sampled
1,0.026607014324501743,0.029050999641961863,-0.02295003215364534,-0.049557046478147085,,,False
3,0.027670744199188496,0.11526708557107017,-0.11343041783838845,-0.14110116203757694,,,False
5,0.028613340063850107,0.14101155388471107,-0.14057363974773293,-0.16918697981158304,,,False
7,0.02918729688686006,0.19981580916577052,-0.20194644973148118,-0.23113374661834124,,,False
9,0.030672505020288815,0.1150141872538487,-0.1144878252596668,-0.14516033027995562,,,False
11,0.031793360245852775,0.11993952918009271,-0.11966515812041845,-0.15145851836627122,,,False
13,0.032329274230815164,0.12146296670246992,-0.12190380796005532,-0.15423308219087048,,,False
15,0.03289562712674546,0.11837493233082651,-0.11946482827459878,-0.15236045540134424,,,False
17,0.033330607653657945,0.12789677801646915,-0.13044544017978674,-0.16377604783344468,0.0,0.033330607653657945,True
19,0.03341060496419623,0.09536412853562415,-0.098579968172719,-0.13199057313691523,,,False
21,0.034461889100728005,0.13901654278553469,-0.14441254296168365,-0.17887443206241166,,,False
23,0.033566319901539576,0.19052302184031508,-0.20027318955488727,-0.23383950945642684,,,False
25,0.0352936970736365,0.13473929430719603,-0.14322461811140438,-0.17851831518504088,,,False
27,0.03382570829514267,0.15892885320443903,-0.17158307466254924,-0.2054087829576919,,,False
29,0.034590618248597715,0.11618431077694155,-0.12849501700317853,-0.16308563525177625,,,False
31,0.034333808836376656,0.19458328965270216,-0.21114269802867353,-0.24547650686505018,,,False
33,0.033776778682420405,0.1971804117436442,-0.21577683032436024,-0.24955360900678064,,,False
35,0.0339648158652584,0.19490182456140268,-0.21441598289545788,-0.24838079876071628,,,False
37,0.03199270497255047,0.24163478267096286,-0.2652623255079868,-0.29725503048053725,0.0,0.03199270497255047,True
39,0.032153671001312806,0.1889059606158243,-0.21111551065170264,-0.24326918165301545,,,False
41,0.0312735708563075,0.20123111349803025,-0.22485462855746446,-0.25612819941377196,,,False
43,0.03061341798305292,0.17803235195130598,-0.20159096997479825,-0.23220438795785117,,,False
45,0.029477014016589143,0.17653206015037493,-0.2013234276446907,-0.23080044166127983,,,False
47,0.029181021380236316,0.181766837808807,-0.20706217145971573,-0.23624319283995204,,,False
49,0.02876297055853927,0.20361102613676968,-0.23015403813562962,-0.2589170086941689,,,False
51,0.02883143186060394,0.18524603222341468,-0.21173620145647154,-0.24056763331707548,,,False
53,0.028658245467836352,0.2060271349803071,-0.23376062174738466,-0.262418867215221,,,False
55,0.029491958157894738,0.17678739240959454,-0.20373722668166833,-0.23322918483956306,,,False
57,0.029368618370330613,0.18896261117078325,-0.21738280343575206,-0.24675142180608267,0.0,0.029368618370330613,True
59,0.028940368588733806,0.18859454887217963,-0.21857328031970913,-0.24751364890844293,,,False
61,0.02945420483052874,0.19805378481918984,-0.2291110620075414,-0.25856526683807013,,,False
63,0.029955437217448477,0.19681261260293487,-0.2286481215174146,-0.25860355873486307,,,False
65,0.02971134342105275,0.2242142187611876,-0.2583824067501235,-0.2880937501711762,,,False
67,0.029818936123642503,0.19722176691729226,-0.23161952793006346,-0.26143846405370597,,,False
69,0.02927587690834238,0.19090581775868137,-0.22673324643492687,-0.25600912334326925,,,False
71,0.02983870818236073,0.2002123250984597,-0.23672430655270388,-0.2665630147350646,,,False
73,0.028246748955125967,0.19738554350161028,-0.2359373570775351,-0.26418410603266107,,,False
75,0.028845469029120496,0.2260377182241306,-0.2654061832650406,-0.2942516522941611,,,False
77,0.02830873014858587,0.22880436555674777,-0.26915956655136913,-0.297468296699955,0.0,0.02830873014858587,True
79,0.02775070016290726,0.22849574543501538,-0.26941741491932697,-0.29716811508223423,,,False
81,0.02724035746210768,0.22958719119226506,-0.2711227751702994,-0.2983631326324071,,,False
83,0.02659075373194897,0.18353124561403406,-0.22413029055870787,-0.25072104429065684,,,False
85,0.026026824062537313,0.21003539598997403,-0.25179458741729455,-0.27782141147983186,,,False
87,0.025633684377610766,0.22183279412817702,-0.2640284415876557,-0.28966212596526647,,,False
89,0.025669442738990467,0.2270951432151799,-0.2691111664648433,-0.29478060920383375,,,False
91,0.02538319469029726,0.20659614822771155,-0.24789634743849986,-0.2732795421287971,,,False
93,0.024905644338226618,0.22743968993913263,-0.26943241079165103,-0.29433805512987765,,,False
95,0.023935704723117346,0.25711821124239087,-0.3005200685865168,-0.32445577330963415,,,False
97,0.025024691744838345,0.18749236233440683,-0.2273540461804247,-0.25237873792526305,0.0,0.025024691744838345,True
99,0.023462631253132915,0.2172030046544927,-0.25897181281003573,-0.28243444406316864,,,False
101,0.02349848119525011,0.2346720404582877,-0.2764584871888692,-0.2999569683841193,,,False
103,0.023375644575128363,0.21181135839598922,-0.25255823620383167,-0.27593388077896003,,,False
105,0.02408526375462472,0.258705456498388,-0.2997985094166265,-0.3238837731712512,,,False
107,0.02261954728905602,0.19810057321876012,-0.23840499813295485,-0.26102454542201087,,,False
109,0.023384643082706824,0.249073675259577,-0.2897372558915676,-0.31312189897427445,,,False
111,0.022584047783148375,0.21658307697815887,-0.25651768253747287,-0.27910173032062124,,,False
113,0.02314692617078412,0.2120239036877903,-0.2509265563912626,-0.2740734825620467,,,False
115,0.02198469525182012,0.21343994880057235,-0.25315239127820993,-0.27513708653003005,,,False
117,0.022431718565461334,0.20094504976727443,-0.2394234783174728,-0.2618551968829341,0.0,0.022431718565461334,True
119,0.02201336828977213,0.21234118438954444,-0.25121518237303453,-0.27322855066280666,,,False
121,0.02141388694175922,0.2085770941639809,-0.24756639843734435,-0.26898028537910357,,,False
123,0.021598895396825468,0.2093572380952372,-0.24780507399485624,-0.2694039693916817,,,False
125,0.02102170282074234,0.19120340494092294,-0.22941131624599276,-0.2504330190667351,,,False
127,0.021210137590404632,0.1979200633727165,-0.23582454238102363,-0.25703467997142826,,,False
129,0.021095410849146734,0.2066569133548151,-0.24451143251915952,-0.26560684336830626,,,False
131,0.020553839338226576,0.22010528857858863,-0.2587345354207533,-0.2792883747589799,,,False
133,0.020825664645542474,0.2085777765843171,-0.2463187861180013,-0.26714445076354376,,,False
135,0.02097452335541239,0.20547835123523028,-0.24272164001221203,-0.2636961633676244,,,False
137,0.020367920129490458,0.231533625492301,-0.2698329342142973,-0.2902008543437878,0.0,0.020367920129490458,True
139,0.01926308881907149,0.15121116935195061,-0.1878967127386374,-0.20715980155770888,,,False
141,0.02031384282790316,0.19546037379162126,-0.2321600057413183,-0.25247384856922145,,,False
143,0.021094767568922312,0.15944875546007822,-0.19415117110447633,-0.21524593867339864,,,False
145,0.020394229627043847,0.19913383494450326,-0.23542585937226762,-0.25582008899931147,,,False
147,0.020302680528106076,0.1998390343716426,-0.23596343951921073,-0.2562661200473168,,,False
149,0.01983517268946175,0.15850509165771512,-0.19374028143396504,-0.2135754541234268,,,False
151,0.02015712309225448,0.19717366093805894,-0.2329348146953486,-0.2530919377876031,,,False
153,0.020675158300513197,0.1906210118152515,-0.22552428937083907,-0.24619944767135227,,,False
155,0.020010651319966655,0.19858827175080498,-0.23410410887564487,-0.2541147601956115,,,False
157,0.019623660553765465,0.21195126459004598,-0.24804019756941292,-0.2676638581231784,0.0,0.019623660553765465,True
159,0.019832726672634027,0.1959705148585743,-0.23125378885428066,-0.2510865155269147,,,False
161,0.01969983501133793,0.1977388571428564,-0.23285706669355027,-0.2525569017048882,,,False
163,0.019855910439790014,0.1948766294307188,-0.22974784289187017,-0.24960375333166018,,,False
165,0.019697746519274417,0.1768003809523805,-0.2112024981875914,-0.23090024470686582,,,False
167,0.01960058854159208,0.19754273182957305,-0.23246264954532675,-0.25206323808691883,,,False
169,0.01923069824919449,0.19370516362334347,-0.22865998605435384,-0.24789068430354833,,,False
171,0.01925866277479421,0.18492114393125617,-0.21956869316800154,-0.23882735594279575,,,False
173,0.019241536318773123,0.1904403415682055,-0.2250882654481926,-0.24432980176696573,,,False
175,0.01957589895214229,0.1999798847117787,-0.23449242170921086,-0.25406832066135315,,,False
177,0.019030809140708982,0.18656394880057225,-0.2210359345209854,-0.2400667436616944,0.0,0.019030809140708982,True
179,0.0193398826805109,0.19160236018617904,-0.22579667723731828,-0.24513655991782918,,,False
181,0.01933054199427145,0.196221675259577,-0.2304777798995677,-0.24980832189383914,,,False
183,0.018742429788757647,0.17380807876834872,-0.20775276080842892,-0.22649519059718656,,,False
185,0.019307491870151683,0.18820601790189706,-0.22200440506515084,-0.24131189693530253,,,False
187,0.019212472860126506,0.19120286967418482,-0.22498677297199726,-0.24419924583212377,,,False
189,0.01924780921410668,0.1903049645542421,-0.22391808869303054,-0.24316589790713722,,,False
191,0.019160351300274547,0.18937752918009232,-0.22295699550923437,-0.24211734680950892,,,False
193,0.018640199656283607,0.22265156319369764,-0.25768511003792816,-0.27632530969421176,,,False
195,0.019244457083184174,0.1739040418904399,-0.2067459539078384,-0.22599041099102257,,,False
197,0.01865807387874452,0.20067701181525194,-0.23477091042847215,-0.25342898430721666,0.0,0.01865807387874452,True
199,0.018795681411863052,0.17616312710347232,-0.20928317998383167,-0.22807886139569472,,,False
201,0.03265543367167924,0.06735208771929771,-0.08243110908822929,-0.11508654275990853,,,False
203,0.018932471530015565,0.1778412696025773,-0.2100936326187019,-0.22902610414871746,,,False
205,0.01871223253968257,0.18010368027210827,-0.21250536899310146,-0.23121760153278403,,,False
207,0.01888107417293236,0.1862840977443603,-0.2186882341012561,-0.23756930827418846,,,False
209,0.01869765907387519,0.18373634837092664,-0.2160919252189274,-0.23478958429280258,,,False
211,0.01863440805585395,0.17678244683136338,-0.20901520368342352,-0.22764961173927747,,,False
213,0.018748418663921768,0.18630073540995276,-0.21859849784299396,-0.23734691650691572,,,False
215,0.018651454015992414,0.18423981274615042,-0.21635909849372004,-0.23501055250971245,,,False
217,0.01873942724489802,0.18715227210884292,-0.21928236938955042,-0.23802179663444845,0.0,0.01873942724489802,True
219,0.018517403131638688,0.19895409846043619,-0.2315506525957608,-0.2500680557273995,,,False
221,0.017979933916935226,0.14988875725026818,-0.18143617811237128,-0.1994161120293065,,,False
223,0.01876246515156943,0.17747919441460724,-0.2089569102212453,-0.22771937537281473,,,False
225,0.018244194211719855,0.200603587182241,-0.23326380716461614,-0.251508001376336,,,False
227,0.018359739397899533,0.17874030791263812,-0.21050456511789417,-0.2288643045157937,,,False
229,0.018631835911803396,0.184455503043322,-0.21604861408597142,-0.23468044999777482,,,False
231,0.01872172641007286,0.17653172502685224,-0.20776294577234738,-0.22648467218242024,,,False
233,0.018412417771213774,0.1870904826351586,-0.2188278033276856,-0.23724022109889936,,,False
235,0.018351081365914873,0.19887011779448543,-0.23098081322094222,-0.2493318945868571,,,False
237,0.01835193415682071,0.19803481919083354,-0.2300166736546716,-0.2483686078114923,0.0,0.01835193415682071,True
