cycle,j_forward_mAcm2,j_backward_mAcm2,delta_j_mAcm2
1,0.00793786581632653,-0.019460279591836733,0.027398145408163262
2,0.011212507142857145,-0.02252012857142857,0.03373263571428572
3,0.008345270918367348,-0.024268378061224487,0.03261364897959183
4,0.010190835714285713,-0.02575439285714286,0.035945228571428574
5,0.008019971428571429,-0.027204911224489793,0.03522488265306122
6,0.007610717857142857,-0.028527011224489796,0.03613772908163265
7,0.007073091836734694,-0.02972760612244898,0.03680069795918368
8,0.006505539285714286,-0.03127704540816326,0.03778258469387755
9,0.005158291836734694,-0.0331941193877551,0.03835241122448979
10,0.0019326433673469386,-0.03493280918367347,0.0368654525510204
11,0.003622458163265306,-0.03714069540816326,0.04076315357142857
12,0.002310533673469388,-0.03922202959183673,0.04153256326530612
13,0.0008123683673469387,-0.04150739897959183,0.04231976734693877
14,-0.0007353382653061224,-0.04353456887755102,0.0427992306122449
15,-0.005642807653061224,-0.04536024336734694,0.039717435714285716
16,-0.003944721428571428,-0.04709517959183673,0.04315045816326531
17,-0.005376262244897959,-0.04849146683673469,0.04311520459183674
18,-0.00689202193877551,-0.04961984183673469,0.04272781989795918
19,-0.008262733163265307,-0.05022402091836734,0.041961287755102036
20,-0.009533417857142857,-0.05057064642857143,0.04103722857142857
21,-0.010598912244897958,-0.050559791836734695,0.03996087959183674
22,-0.011407698469387753,-0.05065046785714286,0.03924276938775511
23,-0.016128589285714288,-0.05082900051020408,0.03470041122448979
24,-0.01436549693877551,-0.050788190306122444,0.03642269336734694
25,-0.012985868877551019,-0.051012890816326525,0.03802702193877551
26,-0.013223908673469389,-0.05189772244897959,0.0386738137755102
27,-0.01395090969387755,-0.0525907637755102,0.03863985408163265
28,-0.014560964285714286,-0.05350222755102041,0.03894126326530612
29,-0.015254154591836735,-0.054748956122448976,0.039494801530612245
30,-0.016139886734693878,-0.055763380102040815,0.03962349336734694
31,-0.018314414285714287,-0.057303967857142854,0.03898955357142857
32,-0.01800053520408163,-0.058741017346938776,0.040740482142857144
33,-0.018162982653061224,-0.06012889081632653,0.04196590816326531
34,-0.020847692346938774,-0.06132471275510204,0.04047702040816327
35,-0.021353701020408164,-0.0623685362244898,0.04101483520408163
36,-0.02226494081632653,-0.06309656887755102,0.04083162806122449
37,-0.023231581122448983,-0.06359543265306122,0.04036385153061224
38,-0.023946372959183674,-0.0640958,0.040149427040816324
39,-0.024854479591836735,-0.06432783928571428,0.03947335969387755
40,-0.025345097959183674,-0.06418406836734694,0.03883897040816327
41,-0.02585706020408163,-0.06409854948979592,0.03824148928571429
42,-0.026140788265306122,-0.06390543163265307,0.037764643367346945
43,-0.02979745306122449,-0.06355117908163266,0.03375372602040817
44,-0.026580880102040814,-0.06342652959183673,0.03684564948979591
45,-0.026696500510204082,-0.06302221785714286,0.03632571734693878
46,-0.02657219387755102,-0.062618825,0.036046631122448984
47,-0.026816454081632652,-0.062063235714285715,0.03524678163265306
48,-0.026721356632653064,-0.06149433367346939,0.034772977040816326
49,-0.026460523469387754,-0.06096153724489796,0.03450101377551021
50,-0.026539004081632653,-0.060477076530612246,0.03393807244897959
51,-0.026306485714285715,-0.05997173265306123,0.03366524693877551
52,-0.026205466326530615,-0.05958891785714286,0.03338345153061224
53,-0.023604313775510206,-0.05907855765306123,0.03547424387755102
54,-0.025823346428571425,-0.058658573979591844,0.03283522755102042
55,-0.02566488469387755,-0.058227774999999996,0.032562890306122444
56,-0.025579316326530616,-0.05777458367346939,0.03219526734693877
57,-0.02537588214285714,-0.057249994387755104,0.03187411224489796
58,-0.02535068418367347,-0.05684097908163265,0.03149029489795918
59,-0.025054923979591838,-0.056304856632653055,0.031249932653061217
60,-0.02490935051020408,-0.05603617653061224,0.03112682602040816
61,-0.024641277040816326,-0.05568951428571428,0.031048237244897955
62,-0.025013190306122448,-0.05516692755102041,0.03015373724489796
63,-0.028045200510204083,-0.054959716836734694,0.02691451632653061
64,-0.02618120663265306,-0.05459831275510204,0.02841710612244898
65,-0.024232080102040816,-0.05403255969387755,0.02980047959183673
66,-0.024133492346938776,-0.05395477755102041,0.029821285204081636
67,-0.023970423979591836,-0.05368936989795919,0.02971894591836735
68,-0.023850448469387754,-0.053440661734693876,0.02959021326530612
69,-0.023756080102040816,-0.05305906173469388,0.029302981632653064
70,-0.023540992346938776,-0.05270123928571429,0.029160246938775513
71,-0.02350326173469388,-0.052503271938775506,0.029000010204081626
72,-0.023327085714285715,-0.052294602551020405,0.02896751683673469
73,-0.02327329744897959,-0.05205209030612245,0.028778792857142858
74,-0.022992772959183675,-0.051814903571428574,0.0288221306122449
75,-0.022947808673469388,-0.05156140918367347,0.02861360051020408
76,-0.022803036224489794,-0.05133343571428572,0.028530399489795924
77,-0.022722616836734693,-0.051135956122448985,0.028413339285714292
78,-0.022664842346938774,-0.05079294285714286,0.028128100510204083
79,-0.022541988775510204,-0.050658175,0.028116186224489796
80,-0.022469705612244897,-0.050541048979591836,0.02807134336734694
81,-0.022298150000000003,-0.04988455255102041,0.027586402551020406
82,-0.022200918877551018,-0.0500616612244898,0.027860742346938784
83,-0.0222596693877551,-0.04999490612244898,0.02773523673469388
84,-0.021996699489795917,-0.049812875,0.027816175510204082
85,-0.021941579081632655,-0.04943644795918367,0.027494868877551017
86,-0.021878713775510206,-0.049504689795918363,0.027625976020408158
87,-0.021892514795918364,-0.04937235357142857,0.027479838775510208
88,-0.02154624744897959,-0.0492422862244898,0.027696038775510207
89,-0.021626597959183674,-0.04912788163265306,0.027501283673469386
90,-0.021918978571428573,-0.04895058826530612,0.027031609693877547
91,-0.021542770408163266,-0.04893139846938776,0.027388628061224492
92,-0.021556994387755102,-0.04859333826530612,0.027036343877551015
93,-0.02158296479591837,-0.04860431734693878,0.02702135255102041
94,-0.021385770408163265,-0.04838948316326531,0.027003712755102043
95,-0.021180191326530613,-0.04828386173469388,0.027103670408163267
96,-0.02124854744897959,-0.04820218010204082,0.02695363265306123
97,-0.021170702040816326,-0.04819337959183674,0.027022677551020415
98,-0.02112282193877551,-0.04799042193877551,0.0268676
99,-0.02108805612244898,-0.0479670943877551,0.026879038265306122
100,-0.02311179132653061,-0.04770947448979592,0.02459768316326531
101,-0.009743510714285714,-0.046823358163265306,0.03707984744897959
102,-0.02038812397959184,-0.04694956275510204,0.026561438775510197
103,-0.021365679591836734,-0.04665710153061225,0.025291421938775514
104,-0.02033932193877551,-0.046663706122448974,0.026324384183673465
105,-0.020760998979591834,-0.04664969183673469,0.025888692857142855
106,-0.02040994693877551,-0.04663794693877551,0.026227999999999998
107,-0.020300172448979595,-0.046575782653061226,0.02627561020408163
108,-0.020060345918367348,-0.04626783673469388,0.026207490816326534
109,-0.019943741836734693,-0.04623292346938776,0.026289181632653067
110,-0.0217296637755102,-0.04610207908163265,0.02437241530612245
111,-0.019866337244897957,-0.0460784693877551,0.026212132142857145
112,-0.019872326020408164,-0.04591060765306122,0.02603828163265306
113,-0.01983873418367347,-0.045957039285714284,0.026118305102040815
114,-0.019995357653061225,-0.045627540306122455,0.02563218265306123
115,-0.019737446428571427,-0.04567386326530612,0.025936416836734692
116,-0.019690442346938775,-0.045675622959183676,0.0259851806122449
117,-0.019503951020408163,-0.04552101326530612,0.02601706224489796
118,-0.019521848469387756,-0.045520592346938775,0.02599874387755102
119,-0.019501433163265306,-0.0453998637755102,0.025898430612244897
120,-0.01937713469387755,-0.0453402806122449,0.025963145918367347
121,-0.023570563265306124,-0.04520074183673469,0.021630178571428568
122,-0.01938046581632653,-0.04508887653061225,0.02570841071428572
123,-0.01932154744897959,-0.04507490051020408,0.02575335306122449
124,-0.019409268877551022,-0.04480507806122449,0.025395809183673467
125,-0.01918083418367347,-0.04472717040816327,0.0255463362244898
126,-0.01918582857142857,-0.04485982397959184,0.02567399540816327
127,-0.019173379591836733,-0.04462062908163265,0.025447249489795914
128,-0.019072699999999998,-0.044628960714285716,0.025556260714285718
129,-0.019061640306122448,-0.044631845918367344,0.025570205612244896
130,-0.01903696479591837,-0.04462419744897959,0.025587232653061218
131,-0.0189409943877551,-0.04454555969387755,0.02560456530612245
132,-0.018939102040816325,-0.04444808520408163,0.025508983163265306
133,-0.019169465306122447,-0.044427121938775516,0.02525765663265307
134,-0.018795026530612245,-0.044262302551020406,0.025467276020408162
135,-0.01883462448979592,-0.0442045362244898,0.025369911734693877
136,-0.018835695918367347,-0.04424306887755102,0.025407372959183674
137,-0.01878300357142857,-0.04414072448979592,0.025357720918367348
138,-0.018788546938775512,-0.04402528163265306,0.02523673469387755
139,-0.018601879081632654,-0.04410055102040816,0.02549867193877551
140,-0.018564964795918366,-0.043842601530612244,0.025277636734693878
141,-0.018706441836734696,-0.04400073571428571,0.025294293877551017
142,-0.01857468469387755,-0.04394582908163266,0.025371144387755108
143,-0.018621032653061226,-0.04390127448979592,0.025280241836734697
144,-0.018497141326530613,-0.04380077857142858,0.025303637244897963
145,-0.018480590816326532,-0.043783921428571425,0.025303330612244893
146,-0.01837024387755102,-0.04349857857142857,0.025128334693877548
147,-0.018333161224489795,-0.043722951020408164,0.02538978979591837
148,-0.018389470918367345,-0.04348779132653061,0.025098320408163267
149,-0.018372011224489795,-0.04361511989795918,0.025243108673469385
150,-0.01833157244897959,-0.043552129591836734,0.025220557142857144
151,-0.01830724081632653,-0.04337973265306123,0.025072491836734698
152,-0.01811986020408163,-0.043446085714285716,0.025326225510204085
153,-0.01824045867346939,-0.04346272959183673,0.025222270918367342
154,-0.01828244285714286,-0.04344610408163265,0.02516366122448979
155,-0.01827012755102041,-0.043378791836734695,0.025108664285714285
156,-0.018199769387755103,-0.043254273469387754,0.02505450408163265
157,-0.018192935204081634,-0.04324633316326531,0.025053397959183675
158,-0.018001003571428573,-0.04306768010204082,0.025066676530612245
159,-0.0180515056122449,-0.04321247193877551,0.02516096632653061
160,-0.018201119387755104,-0.043212146938775516,0.02501102755102041
161,-0.01986887806122449,-0.043122781122448973,0.023253903061224483
162,-0.017930452040816326,-0.04304074948979592,0.025110297448979597
163,-0.01806055867346939,-0.04308658520408163,0.02502602653061224
164,-0.017972792857142858,-0.043136966326530614,0.025164173469387756
165,-0.017180405102040816,-0.04305308673469388,0.025872681632653063
166,-0.019985741836734693,-0.04297415816326531,0.022988416326530616
167,-0.017948564285714286,-0.043009039285714284,0.025060475
168,-0.01780500918367347,-0.042798225,0.024993215816326533
169,-0.017736401020408164,-0.04285445,0.02511804897959184
170,-0.017836953571428574,-0.042763946428571425,0.02492699285714285
171,-0.018907222959183675,-0.042785647448979586,0.02387842448979591
172,-0.017851291326530613,-0.04276646989795918,0.024915178571428567
173,-0.017777037755102042,-0.04278953214285714,0.0250124943877551
174,-0.017840130102040816,-0.04258161989795919,0.02474148979591837
175,-0.017786458163265306,-0.0427025306122449,0.024916072448979597
176,-0.017741227551020408,-0.04266780867346939,0.024926581122448985
177,-0.017813013265306123,-0.042602354591836734,0.02478934132653061
178,-0.017780946428571427,-0.04267230663265306,0.024891360204081635
179,-0.017607817346938774,-0.0427467806122449,0.025138963265306125
180,-0.017398310714285714,-0.04251563265306123,0.025117321938775514
181,-0.01765774387755102,-0.0426707,0.025012956122448977
182,-0.017629395408163266,-0.04258704744897959,0.024957652040816326
183,-0.0176772556122449,-0.04253677551020408,0.02485951989795918
184,-0.017527654591836736,-0.042536539285714284,0.025008884693877548
185,-0.017671194387755104,-0.04255537602040816,0.024884181632653057
186,-0.0191902806122449,-0.04232793724489795,0.02313765663265305
187,-0.017587589795918367,-0.04248001479591837,0.024892425000000003
188,-0.01753794693877551,-0.04243723163265306,0.02489928469387755
189,-0.01750544948979592,-0.04244825510204082,0.0249428056122449
190,-0.0174751,-0.042442460714285715,0.024967360714285715
191,-0.017424182653061223,-0.04240370510204081,0.02497952244897959
192,-0.017505769897959184,-0.04240907857142857,0.024903308673469383
193,-0.017474225,-0.042386718367346934,0.024912493367346935
194,-0.017471078571428572,-0.042400769897959184,0.024929691326530612
195,-0.017513416836734696,-0.042313951020408164,0.024800534183673468
196,-0.017488496428571428,-0.04235593979591837,0.02486744336734694
197,-0.017395307653061225,-0.042360347448979596,0.02496503979591837
198,-0.017404075510204082,-0.042354856122448985,0.024950780612244903
199,-0.01739170918367347,-0.04231040102040816,0.024918691836734688
200,-0.01739126632653061,-0.04233069642857143,0.02493943010204082
201,-0.00794475,-0.04160760612244898,0.03366285612244898
202,-0.017013930612244897,-0.041884789795918365,0.024870859183673467
203,-0.01704661581632653,-0.041895881632653065,0.024849265816326536
204,-0.017136339795918366,-0.041878757653061226,0.02474241785714286
205,-0.014548557142857143,-0.04194138673469388,0.027392829591836736
206,-0.01822125612244898,-0.04190565816326531,0.02368440204081633
207,-0.020923235204081632,-0.04201431020408163,0.021091075
208,-0.02407316224489796,-0.04191160102040817,0.017838438775510206
209,-0.014563594387755103,-0.04189235306122449,0.027328758673469386
210,-0.017148908673469385,-0.04195228418367347,0.024803375510204086
211,-0.018302936734693877,-0.0418956443877551,0.023592707653061224
212,-0.017110902040816327,-0.04192066989795918,0.024809767857142853
213,-0.015191474489795917,-0.04190482295918368,0.026713348469387763
214,-0.017167099489795917,-0.041816928571428574,0.024649829081632657
215,-0.014826632142857142,-0.04181245255102041,0.026985820408163268
216,-0.01704477806122449,-0.04186000255102041,0.02481522448979592
217,-0.01710902806122449,-0.041797685714285715,0.024688657653061226
218,-0.017072503571428574,-0.04190778724489796,0.024835283673469384
219,-0.017070648469387755,-0.04183831275510204,0.024767664285714284
220,-0.016975420408163265,-0.04169135102040816,0.024715930612244898
221,-0.017029293877551022,-0.041885787755102044,0.024856493877551022
222,-0.01702416224489796,-0.041762147959183676,0.024737985714285718
223,-0.01701496530612245,-0.04172156020408163,0.02470659489795918
224,-0.01695677755102041,-0.041739204591836734,0.024782427040816325
225,-0.016974386224489796,-0.04172895663265306,0.024754570408163264
226,-0.016983198979591836,-0.04167577551020408,0.024692576530612242
227,-0.017030329081632652,-0.041776575510204084,0.02474624642857143
228,-0.01968157295918367,-0.041765361224489796,0.022083788265306124
229,-0.01784176836734694,-0.04173656071428571,0.023894792346938774
230,-0.016927502040816327,-0.041586620408163265,0.02465911836734694
231,-0.01689926632653061,-0.041654193877551024,0.024754927551020413
232,-0.018446316326530612,-0.04172931530612245,0.023282998979591837
233,-0.01696904693877551,-0.04175206734693877,0.024783020408163263
234,-0.0170407556122449,-0.04172596326530612,0.024685207653061224
235,-0.017623047959183673,-0.04171287142857143,0.024089823469387754
236,-0.016876574999999998,-0.0416843887755102,0.024807813775510203
237,-0.016948486224489797,-0.04168343979591837,0.02473495357142857
238,-0.01693240612244898,-0.04166559336734694,0.02473318724489796
239,-0.016889832653061224,-0.04166215867346939,0.024772326020408166
240,-0.016908158163265307,-0.04162712244897959,0.024718964285714285
241,-0.016847116836734694,-0.04172008826530612,0.024872971428571426
242,-0.016918055102040818,-0.041652639285714284,0.024734584183673466
243,-0.016903554591836734,-0.041682785714285714,0.02477923112244898
244,-0.016854873979591838,-0.04156782551020408,0.024712951530612245
245,-0.016934898469387755,-0.041738617857142855,0.0248037193877551
246,-0.014662226530612246,-0.041620623979591834,0.026958397448979588
247,-0.016568858163265306,-0.041669733163265305,0.025100874999999998
248,-0.016644620918367346,-0.041731493877551026,0.02508687295918368
249,-0.016874052551020407,-0.04169041734693878,0.02481636479591837
250,-0.016768962755102042,-0.04157622397959184,0.0248072612244898
251,-0.01679817806122449,-0.0416333831632653,0.02483520510204081
252,-0.011236914795918367,-0.04149033724489796,0.03025342244897959
253,-0.016791027040816326,-0.04148100765306122,0.024689980612244897
254,-0.01683079387755102,-0.04167646632653061,0.02484567244897959
255,-0.01677668367346939,-0.041555581122448976,0.024778897448979587
