global_cycle,session,raw_cycle,filename,n_points,n_points_ox,n_points_red,E_min,E_max,I_min_mA,I_max_mA,I_mean_mA,Q_ox_mC,Q_red_mC,Q_total_mC
1,0,1,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,314,314,0,0.99997866,1.5913419,0.0001168581811741406,0.1045812761673981,0.02057455037863874,1.2095980385537084,,1.2095980385537084
2,0,1,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0096473,1.599992,-0.003558754096434649,0.1252069175243378,0.007895354790828075,,0.4258145172295968,0.4258145172295968
3,0,1,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,315,315,0,1.0000479,1.5908954,-0.003151125988275138,0.08836312088668352,0.012748550583329538,0.7439557095869527,,0.7439557095869527
4,0,2,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0096654,1.5999621,-0.006848848071821741,0.1112919811939084,0.005215120803816618,,0.29042830263940855,0.29042830263940855
5,0,2,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,314,314,0,1.0000119,1.5895481,-0.004999744100496167,0.08147152340238895,0.011874619278845264,0.6852334267567859,,0.6852334267567859
6,0,3,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0096473,1.5999587,-0.009213744548970068,0.1087865060114341,0.004679823472415428,,0.24070556699098383,0.24070556699098383
7,0,3,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,314,314,0,1.0000479,1.589681,-0.003819005563855171,0.08055216125711673,0.011552540479885545,0.6778722802901882,,0.6778722802901882
8,0,4,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0096774,1.5999788,-0.01138631950285607,0.1074224567839077,0.0038924020718539695,,0.21280903387159497,0.21280903387159497
9,0,4,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,314,314,0,1.0000147,1.5899395,-0.004975306714186445,0.08092669232710192,0.011803006214896505,0.6822320006919522,,0.6822320006919522
10,0,5,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0097063,1.599951,-0.01352189920398261,0.1090926767346706,0.0038216602993845707,,0.19006188597526044,0.19006188597526044
11,0,5,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,316,316,0,0.99999642,1.5913459,-0.002175329519169673,0.08461347894372101,0.012156784609910508,0.7010211123034619,,0.7010211123034619
12,0,6,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.009706,1.5999568,-0.01563446044133757,0.1097488745075204,0.0035734164706512457,,0.1751690521016093,0.1751690521016093
