cycle,delta_line_mAcm2,m_fit,b_ox_fit,b_red_fit,is_outlier_zscore,delta_line_mAcm2_no_outliers_zscore,is_sampled
1,0.024368192678720618,0.0492556451843894,-0.04321499167531315,-0.06758318435403377,,,False
3,0.021626316473922935,0.11552480952380913,-0.11519195253503361,-0.13681826900895655,,,False
5,0.02234312682480008,0.10921580021482229,-0.10832144709398456,-0.13066457391878464,,,False
7,0.0231540589867526,0.10440083959899699,-0.1030088745337446,-0.1261629335204972,,,False
9,0.023821523634681957,0.11333269423558863,-0.11177375888623309,-0.13559528252091504,,,False
11,0.024303524396109333,0.11278006910132436,-0.11091933317162511,-0.13522285756773444,,,False
13,0.024682236410072805,0.1098640175438593,-0.10768951599890766,-0.13237175240898047,,,False
15,0.024981318970640903,0.10865818689581044,-0.10635016514650864,-0.13133148411714954,,,False
17,0.025380895091896394,0.11066395059076224,-0.1081166521569277,-0.1334975472488241,0.0,0.025380895091896394,True
19,0.025736583524883616,0.11124595417114176,-0.10849628459273147,-0.1342328681176151,,,False
21,0.025983669556032957,0.11068770676691696,-0.10782209916460764,-0.1338057687206406,,,False
23,0.026195262774197425,0.10952897815968454,-0.10652018656935155,-0.13271544934354898,,,False
25,0.026392202861916736,0.10976870032223383,-0.10667433726852815,-0.1330665401304449,,,False
27,0.02659057306778853,0.10943285069817373,-0.10623230193963454,-0.13282287500742307,,,False
29,0.026768197903687785,0.10974398460436768,-0.106466127032778,-0.13323432493646578,,,False
31,0.026955137428094078,0.10967805513784414,-0.10631466724117389,-0.13326980466926797,,,False
33,0.02683273586167803,0.127533836734693,-0.12484889892040729,-0.15168163478208532,,,False
35,0.027237901344432547,0.10916429967776549,-0.10563955312228754,-0.13287745446672009,,,False
37,0.027161016948919925,0.12542579090583508,-0.1225447133559962,-0.14970573030491613,0.0,0.027161016948919925,True
39,0.027506245897481796,0.10959781704260609,-0.10595345462042566,-0.13345970051790745,,,False
41,0.027624646669650338,0.10786911457214421,-0.1041160617161292,-0.13174070838577953,,,False
